year,qtr,yield
1982,1,1.245652174
1982,2,1.158125
1982,3,2.555396825
1982,4,2.449508197
1983,1,2.198333333
1983,2,1.925322581
1983,3,2.088769231
1983,4,2.363333333
1984,1,2.446129032
1984,2,2.720806452
1984,3,2.443064516
1984,4,2.359206349
1985,1,3.080983607
1985,2,3.067903226
1985,3,3.025322581
1985,4,2.760634921
1986,1,1.571428571
1986,2,1.368196721
1986,3,1.481451613
1986,4,1.78046875
1987,1,1.794754098
1987,2,2.248730159
1987,3,2.426153846
1987,4,2.867540984
1988,1,2.404833333
1988,2,2.462380952
1988,3,1.984603175
1988,4,1.548125
1989,1,0.375967742
1989,2,0.102222222
1989,3,0.022258065
1989,4,0.089047619
1990,1,0.468360656
1990,2,0.682857143
1990,3,0.76483871
1990,4,0.9978125
1991,1,1.839508197
1991,2,2.263492063
1991,3,2.316935484
1991,4,2.4378125
1992,1,3.276190476
1992,2,3.545645161
1992,3,3.457384615
1992,4,3.574590164
1993,1,3.119310345
1993,2,2.9721875
1993,3,2.68953125
1993,4,2.63734375
1994,1,2.743
1994,2,2.910983607
1994,3,2.71578125
1994,4,2.6309375
1995,1,1.475
1995,2,0.97515625
1995,3,0.839508197
1995,4,0.75
1996,1,0.93516129
1996,2,1.355873016
1996,3,1.418225806
1996,4,1.282
1997,1,1.315555556
1997,2,1.417540984
1997,3,1.156451613
1997,4,0.938125
1998,1,0.407868852
1998,2,0.46483871
1998,3,0.339846154
1998,4,0.287258065
1999,1,0.566101695
1999,2,0.8125
1999,3,0.9971875
1999,4,0.894375
2000,1,0.621129032
2000,2,0.234761905
2000,3,-0.06516129
2000,4,-0.2740625
2001,1,0.348
2001,2,1.269677419
2001,3,1.413548387
2001,4,2.083125
2002,1,3.206721311
2002,2,3.257777778
2002,3,2.903548387
2002,4,2.70875
2003,1,2.793333333
2003,2,2.761290323
2003,3,3.068548387
2003,4,3.187460317
2004,1,3.137666667
2004,2,3.227460317
2004,3,2.965538462
2004,4,2.479677419
2005,1,1.569833333
2005,2,1.32483871
2005,3,0.92
2005,4,0.86875
2006,1,0.100483871
2006,2,0.14859375
2006,3,-0.045737705
2006,4,-0.226984127
2007,1,-0.256721311
2007,2,-0.1
2007,3,0.104285714
2007,4,0.50515625
2008,1,1.646825397
2008,2,2.193934426
2008,3,2.22031746
2008,4,2.7175
2009,1,2.725409836
2009,2,2.949032258
2009,3,3.234307692
2009,4,3.202580645
2010,1,3.419322034
2010,2,3.3575
2010,3,2.85015625
2010,4,2.79390625
2011,1,3.1515
2011,2,3.088548387
2011,3,2.67078125
2011,4,2.3490625
2012,1,1.848387097
2012,2,1.81203125
2012,3,1.590819672
2012,4,1.667460317
2013,1,1.968688525
2013,2,1.987301587
2013,3,2.441612903
2013,4,2.48671875
2014,1,2.685079365
2014,2,2.593225806
2014,3,2.510483871
2014,4,2.407777778
2015,1,2.054754098
2015,2,2.055555556
2015,3,2.173692308
2015,4,2.085645161
2016,1,1.6205
2016,2,1.546507937
2016,3,1.357619048
2016,4,1.5546875
2017,1,1.749677419
2017,2,1.44375
2017,3,1.276885246
2017,4,1.280634921
2018,1,1.109508197
2018,2,1.027419355
2018,3,0.926031746
2018,4,0.858888889
2019,1,0.197192982
2019,2,0.013684211
2019,3,-0.112321429
2019,4,0.016111111
